iter	Passed	Remaining
956	60090	96885
957	60156	96827
958	60200	96734
959	60262	96671
960	60325	96608
961	60392	96551
962	60441	96467
963	60486	96376
964	60549	96314
965	60609	96247
966	60664	96172
967	60729	96112
968	60785	96039
969	60861	95997
970	60911	95915
971	60969	95845
972	61019	95762
973	61074	95688
974	61129	95612
975	61194	95554
976	61260	95496
977	61323	95434
978	61376	95355
979	61422	95267
980	61479	95196
981	61535	95123
982	61576	95027
983	61652	94984
984	61700	94899
985	61744	94809
986	61801	94737
987	61853	94658
988	61908	94583
989	61956	94499
990	62014	94430
991	62085	94380
992	62152	94323
993	62216	94264
994	62264	94178
995	62331	94123
996	62401	94071
997	62469	94016
998	62523	93941
999	62595	93893
1000	62647	93815
1001	62700	93737
1002	62761	93672
1003	62826	93613
1004	62885	93546
1005	62943	93477
1006	62989	93389
1007	63060	93339
1008	63112	93261
1009	63169	93190
1010	63237	93136
1011	63322	93106
1012	63379	93035
1013	63453	92990
1014	63506	92913
1015	63567	92848
1016	63629	92785
1017	63677	92701
1018	63751	92654
1019	63808	92585
1020	63866	92516
1021	63922	92444
1022	63994	92394
1023	64075	92358
1024	64135	92292
1025	64182	92208
1026	64242	92141
1027	64304	92077
1028	64374	92025
1029	64428	91951
1030	64480	91874
1031	64532	91796
1032	64592	91730
1033	64656	91670
1034	64717	91604
1035	64779	91541
1036	64843	91481
1037	64889	91395
1038	64948	91328
1039	65005	91258
1040	65065	91192
1041	65133	91137
1042	65175	91045
1043	65234	90978
1044	65309	90933
1045	65369	90867
1046	65426	90797
1047	65471	90710
1048	65526	90637
1049	65599	90589
1050	65662	90527
1051	65730	90472
1052	65791	90407
1053	65836	90321
1054	65890	90248
1055	65944	90173
1056	66011	90117
1057	66083	90068
1058	66152	90014
1059	66214	89951
1060	66296	89916
1061	66365	89861
1062	66427	89798
1063	66501	89752
1064	66565	89691
1065	66627	89627
1066	66682	89556
1067	66742	89489
1068	66793	89411
1069	66854	89347
1070	66912	89278
1071	66971	89211
1072	67021	89133
1073	67080	89065
1074	67155	89019
1075	67201	88936
1076	67277	88890
1077	67331	88817
1078	67396	88758
1079	67461	88699
1080	67509	88617
1081	67554	88532
1082	67618	88472
1083	67689	88420
1084	67739	88342
1085	67802	88280
1086	67863	88216
1087	67927	88156
1088	67998	88105
1089	68058	88038
1090	68121	87977
1091	68190	87923
1092	68234	87837
1093	68309	87791
1094	68368	87723
1095	68435	87667
1096	68493	87599
1097	68552	87531
1098	68611	87466
1099	68665	87392
1100	68725	87326
1101	68799	87278
1102	68857	87210
1103	68921	87150
1104	68994	87102
1105	69056	87038
1106	69107	86962
1107	69152	86877
1108	69212	86812
1109	69272	86747
1110	69351	86704
1111	69409	86637
1112	69474	86578
1113	69535	86513
1114	69606	86462
1115	69676	86408
1116	69733	86339
1117	69805	86289
1118	69853	86208
1119	69922	86154
1120	69991	86100
1121	70050	86033
1122	70115	85974
1123	70174	85907
1124	70228	85835
1125	70287	85767
1126	70353	85710
1127	70409	85639
1128	70458	85560
1129	70532	85512
1130	70590	85445
1131	70655	85385
1132	70715	85320
1133	70766	85243
1134	70833	85187
1135	70894	85123
1136	70950	85052
1137	71017	84996
1138	71086	84942
1139	71133	84860
1140	71205	84810
1141	71263	84742
1142	71330	84685
1143	71387	84616
1144	71448	84552
1145	71504	84482
1146	71574	84428
1147	71629	84358
1148	71701	84306
1149	71770	84251
1150	71830	84186
1151	71888	84119
1152	71940	84044
1153	71994	83973
1154	72039	83890
1155	72100	83826
1156	72175	83778
1157	72238	83717
1158	72304	83658
1159	72365	83594
1160	72425	83529
1161	72487	83467
1162	72555	83410
1163	72611	83340
1164	72680	83286
1165	72739	83219
1166	72811	83168
1167	72882	83115
1168	72924	83030
1169	72994	82976
1170	73049	82905
